,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+SALTS_BATCH_mu=0.55_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,FUM_BATCH_mu=0.55_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.6_H,GLC_BATCH_mu=0.6_H,GLC@pH6_BATCH_mu=0.63_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLC_BATCH_mu=1.03_S
,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3OAR120_reverse,0.0046460330133415309,0.0,0.0049764053327823726,0.0,0.0076193838881706936,0.0,0.0079497562074171413,0.0,0.0079497562074171413,0.0,0.0082801285268712405,0.0,0.0096016178044592455,0.0,0.010372850400581378,0.0,0.018401184809479984,0.0,0.011253479401532053,0.0,0.011253479401532053,0.0,0.012574968678916387,0.0,0.012905340998275148,0.0,0.017069887136921497,0.0,0.014226830276204531,0.0,0.014557202595670216,0.0,0.017506631590756265,0.0,0.018957832600046388,0.0,0.016209064192849489,0.0,0.014944414462887723,0.0,0.016702997432197289,0.0,0.016734534222014524,0.0,0.017200181150487513,0.0,0.017530553469936726,0.0,0.017860925789392336,0.0,0.017860925789392336,0.0,0.019182415067020495,0.0,0.020741287691603796,0.0,0.022582967171909621,0.0,0.020173532025089629,0.0,0.02083427666458371,0.0,0.021825393622423476,0.0,0.022425097625293367,0.0,0.022816510580044653,0.0,0.0231468828997792,0.0,0.035040286398730441,0.0
NMNtex_reverse,0.0046460330133409828,7.2575203280333086e-29,0.0049764053327823674,-2.1457016622011521e-28,0.0076193838881683761,0.0,0.0079497562074183799,-1.5146129380243427e-28,0.0079497562074183799,-1.5146129380243427e-28,0.0082801285268604419,0.0,0.009601617804401474,0.0,0.010372850400634929,3.8811956536873781e-28,0.018401184809463556,0.0,0.011253479401336218,0.0,0.011253479401336218,0.0,0.012574968678921047,0.0,0.012905340998278982,0.0,0.017069887136910364,0.0,0.014226830276208647,1.3883951931889808e-28,0.014557202595649526,0.0,0.017506631590759332,-1.8932661725304283e-28,0.018957832600059316,0.0,0.016209064192881605,4.543838814073028e-28,0.014944414462902261,-6.5633227314388182e-28,0.016702997432089587,0.0,0.016734534222242053,-3.7865323450608567e-28,0.017200181150490962,0.0,0.017530553469934113,-1.2621774483536189e-28,0.017860925789397603,-9.5925486074875036e-28,0.017860925789397603,-9.5925486074875036e-28,0.019182415067056199,-5.5535807727559231e-28,0.020741287691470198,-1.1738250269688656e-27,0.022582967171908188,0.0,0.020173532025123311,-5.0171553572056351e-28,0.020834276664631432,0.0,0.021825393622418206,0.0,0.022425097625563217,5.3011452830851993e-28,0.022816510580039862,0.0,0.023146882899809342,0.0,0.035040286398849152,2.271919407036514e-27
EX_xan_e,8.0374675728993932e-05,0.0,8.608999629869e-05,0.0,0.00013181256084218029,0.0,0.00013752788141031884,0.0,0.00013752788141031884,0.0,0.0001432432019837871,0.0,0.00016610448424585046,0.0,0.00017444472164387657,0.0,0.00024666467572309045,0.0,0.00019468108708629609,0.0,0.00019468108708629609,0.0,0.00021754236936247559,0.0,0.0002232576899144483,0.0,0.00028546846132052045,0.0,0.00024611897221541129,0.0,0.00025183429277487974,0.0,0.0003000937446279669,0.0,0.00031870450940244118,0.0,0.00028041089561055309,0.0,0.00026787355429857331,0.0,0.00029103758683310464,0.0,0.00028809958042329102,0.0,0.00029755685731471204,0.0,0.0003032721778809895,0.0,0.00030898749845389712,0.0,0.00030898749845389712,0.0,0.0003318487807430526,0.0,0.00034957847943189725,0.0,0.00038711085843562177,0.0,0.00034899474242976034,0.0,0.00036042538357989077,0.0,0.00037757134526498706,0.0,0.00038862882426164995,0.0,0.00039471730697952063,0.0,0.00040043262753368364,0.0,0.00060618416799290416,0.0
NTD10,0.00089132527831619311,0.0,0.00095470605913220786,0.0,0.0014617523046964848,0.0,0.0015251330853658985,0.0,0.0015251330853658985,0.0,0.0015885138660685267,0.0,0.0018420369887744909,0.0,0.0019451653929694456,0.0,0.0029326022103926975,0.0,0.0021589408923027077,0.0,0.0021589408923027077,0.0,0.0024124640151694104,0.0,0.002475844795766582,0.0,0.003259576438420279,0.0,0.0027293679187995589,0.0,0.0027927486995069405,0.0,0.0031763086852889259,0.0,0.0034008325657065006,0.0,0.0031096526029682318,0.0,0.0029666331439072583,0.0,0.0032098286879868065,0.0,0.0032415562659054678,0.0,0.0032997949449159372,0.0,0.0033631757257811495,0.0,0.0034265565063982015,0.0,0.0034265565063982015,0.0,0.0036800796291574633,0.0,0.0039106485147884507,0.0,0.0040973315966750861,0.0,0.0038702219712338868,0.0,0.0039969835327632042,0.0,0.0041871258748114818,0.0,0.0043614452431531957,0.0,0.0043772682168148787,0.0,0.0044406489975746827,0.0,0.0067223571027268626,0.0
NTD11,0.0012514567039358469,0.0,0.0013404458808634083,0.0,0.0020523592965195543,0.0,0.0021413484733330311,0.0,0.0021413484733330311,0.0,0.002230337650398046,0.0,0.0025862943580633579,0.0,0.0027064564351688405,0.0,0.0039151457043989498,0.0,0.0030312402427835157,0.0,0.0030312402427835157,0.0,0.0033871969506283342,0.0,0.00347618612735204,0.0,0.004567997966354341,0.0,0.0038321428354152194,0.0,0.0039211320123113159,0.0,0.0043639719327589251,0.0,0.0046528361993720749,0.0,0.0043660778971121297,0.0,0.0042245694595422255,0.0,0.0045098093065571035,0.0,0.0045691561016410424,0.0,0.0046330454277049415,0.0,0.0047220346046970953,0.0,0.0048110237816508658,0.0,0.0048110237816508658,0.0,0.0051669804895840025,0.0,0.005452784451506501,0.0,0.0056293773240613772,0.0,0.0054339480201796766,0.0,0.0056119263743289521,0.0,0.0058788939051558804,0.0,0.0061579215447260501,0.0,0.0061458614356187666,0.0,0.0062348506126398808,0.0,0.0094384609827829636,0.0
NTD12,0.00029237572550765026,0.0,0.00031316611731476687,0.0,0.00047948925156571551,0.0,0.00050027964333285624,0.0,0.00050027964333285624,0.0,0.00052107003511312454,0.0,0.00060423160224460162,0.0,0.00063322245729188396,0.0,0.0010166400447239939,0.0,0.00070818356117188785,0.0,0.00070818356117188785,0.0,0.00079134512826670124,0.0,0.00081213552007313187,0.0,0.00098505043468850016,0.0,0.00089529708721206968,0.0,0.0009160874790044225,0.0,0.0010587695617586871,0.0,0.0011336108551714297,0.0,0.0010200394378850827,0.0,0.00093860895548421048,0.0,0.0010367377716317178,0.0,0.0010248901341738967,0.0,0.0010824106131990523,0.0,0.0011032010050132045,0.0,0.0011239913967738997,0.0,0.0011239913967738997,0.0,0.0012071529639937305,0.0,0.0012580128428407048,0.0,0.0013657771989200697,0.0,0.0012695241392057075,0.0,0.001311104922864174,0.0,0.0013734760981601753,0.0,0.001379121955209347,0.0,0.0014358472735087728,0.0,0.0014566376652700723,0.0,0.0022050917695781713,0.0
PMEACPE,2.2002778096419837e-07,2.1999999999999998e-07,2.4002975642618275e-07,2.3999999999999998e-07,4.000455601220219e-07,3.9999999999999998e-07,4.2004753558400429e-07,4.1999999999999995e-07,4.2004753558400429e-07,4.1999999999999995e-07,4.4004951104598452e-07,4.3999999999999997e-07,5.2005741289390383e-07,5.2e-07,5.2005714114045264e-07,5.2e-07,6.0006463222650699e-07,5.9999999999999997e-07,6.2006729020380823e-07,6.1999999999999999e-07,6.2006729020380823e-07,6.1999999999999999e-07,7.0007519205172754e-07,6.9999999999999997e-07,7.2007716751370152e-07,7.1999999999999999e-07,8.0008498299105049e-07,7.9999999999999996e-07,8.0008506936162729e-07,7.9999999999999996e-07,8.2008704482361493e-07,8.1999999999999988e-07,8.4008949952318031e-07,8.399999999999999e-07,8.8009338043498717e-07,8.7999999999999994e-07,9.2009692213350853e-07,9.1999999999999998e-07,9.2009705445580812e-07,9.1999999999999998e-07,9.4009889910267451e-07,9.3999999999999989e-07,9.4009874287636824e-07,9.3999999999999989e-07,9.8010284851945577e-07,9.7999999999999993e-07,1.0001048239814365e-06,9.9999999999999995e-07,1.0201067994434154e-06,1.02e-06,1.0201067994434154e-06,1.02e-06,1.1001147012913394e-06,1.1000000000000001e-06,1.1001144823952197e-06,1.1000000000000001e-06,1.1001154513810114e-06,1.1000000000000001e-06,1.1601206276772737e-06,1.1599999999999999e-06,1.2001245786012417e-06,1.1999999999999999e-06,1.2601305049871793e-06,1.26e-06,1.3001343423888132e-06,1.3e-06,1.3201364313731237e-06,1.3200000000000001e-06,1.3401384068350837e-06,1.3400000000000001e-06,2.0602095234663803e-06,2.0599999999999998e-06
PItex_reverse,0.0046460330133424772,0.0,0.0049764053327806613,0.0,0.0076193838881663161,0.0,0.0079497562074168499,0.0,0.0079497562074168499,0.0,0.0082801285268616267,0.0,0.009601617804413938,0.0,0.010372850400630544,0.0,0.018401184809476709,0.0,0.011253479401675677,0.0,0.011253479401675677,0.0,0.012574968678908342,0.0,0.012905340998282139,0.0,0.017069887136899647,0.0,0.01422683027619152,0.0,0.014557202595667579,0.0,0.017506631590775094,0.0,0.018957832600062088,0.0,0.016209064192898665,0.0,0.014944414462904131,0.0,0.016702997432079647,0.0,0.016734534222240402,0.0,0.017200181150482781,0.0,0.017530553469960061,0.0,0.01786092578940994,0.0,0.01786092578940994,0.0,0.019182415067054242,0.0,0.020741287691486879,0.0,0.022582967171919061,0.0,0.020173532025135523,0.0,0.020834276664636667,0.0,0.021825393622437756,0.0,0.022425097625569608,0.0,0.022816510580009195,0.0,0.023146882899802643,0.0,0.0350402863988288,0.0
XTSNH,0.00098589559963795743,0.0,0.0010560011317242081,0.0,0.0016168453873742028,0.0,0.0016869509193567257,0.0,0.0016869509193567257,0.0,0.0017570564513281468,0.0,0.0020374785792232506,0.0,0.0021464186191552242,0.0,0.0032282780367924886,0.0,0.0023880062389461595,0.0,0.0023880062389461595,0.0,0.0026684283669559947,0.0,0.0027385338987890415,0.0,0.0036036428402610784,0.0,0.0030189560268804806,0.0,0.0030890615588076114,0.0,0.0034932025910866531,0.0,0.0037359250824783724,0.0,0.0034395892185947363,0.0,0.0032935348678023611,0.0,0.0035510309500995751,0.0,0.0035891762406866246,0.0,0.0036499058143464095,0.0,0.0037200113464147268,0.0,0.003790116878356588,0.0,0.003790116878356588,0.0,0.0040705390064804765,0.0,0.0043176857119433046,0.0,0.0045061140993517485,0.0,0.0042808556020593703,0.0,0.0044210666661934689,0.0,0.0046313832620085314,0.0,0.0048312598117198156,0.0,0.0048416998578280444,0.0,0.0049118053898188543,0.0,0.007435604540760055,0.0
DDPA,0.041316964581314043,0.040911640000000006,0.045065026593901422,0.044630880000000005,0.075049522694709908,0.074384800000000015,0.078797584707330268,0.078104039999999972,0.078797584707330268,0.078104039999999972,0.082545646719889204,0.081823280000000012,0.097537894770287792,0.096700240000000035,0.097423272348702697,0.096700240000000021,0.11190795826500891,0.11157719999999999,0.11627820483323609,0.11529644000000001,0.11627820483323609,0.11529644000000001,0.13127045288370209,0.13017339999999999,0.13501851489622413,0.13389263999999995,0.14930630747672571,0.14876960000000006,0.15001076294672408,0.14876960000000003,0.15375882495926754,0.15248884000000001,0.15682503273192291,0.15620807999999997,0.16427466418765216,0.16364656,0.17249913502225447,0.17108503999999997,0.17300406593420967,0.17108503999999999,0.17617296264234308,0.1748042799999999,0.17627061377630918,0.17480428000000006,0.18374332105999622,0.18224275999999998,0.18749138307264274,0.18596199999999996,0.19123944508522908,0.18968124,0.19123944508522908,0.18968124,0.20623169313561276,0.20455820000000008,0.20600761329297904,0.20455820000000005,0.20535404831722864,0.2045582,0.21747587917336422,0.21571592000000003,0.22497200319864477,0.22315439999999998,0.23621618923640786,0.23431212000000004,0.243825397004614,0.24175060000000007,0.24746037527416295,0.24546984000000008,0.25120843728678549,0.24918908000000009,0.38613866974033073,0.38308172000000001
