,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+SALTS_BATCH_mu=0.55_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,FUM_BATCH_mu=0.55_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.6_H,GLC_BATCH_mu=0.6_H,GLC@pH6_BATCH_mu=0.63_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLC_BATCH_mu=1.03_S
bound,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum
NMNtex_reverse,-7.40717716257355E-014,-2.30347384324535E-028,-3.65332919423494E-014,-1.26217744835362E-028,1.41134062041614E-013,0,-1.9605720548061E-014,6.05845175209737E-028,-1.9605720548061E-014,6.05845175209737E-028,2.58674861028858E-014,1.26217744835362E-028,-3.36628559056304E-014,0,-2.3506358222718E-013,1.94059782684369E-028,4.6978241298033E-013,0,-1.17384907782379E-013,0,-1.17384907782379E-013,0,-1.26012433874095E-013,0,-1.7887692033241E-013,0,1.5397623210168E-013,0,1.36459152905004E-013,5.04870979341448E-029,1.94515621252478E-013,0,9.59871613921776E-014,-1.0097419586829E-027,-1.05887199590702E-013,0,4.01023030365869E-013,3.21855249330173E-028,5.25106749020149E-013,-2.27191940703651E-028,-2.43133879353263E-013,0,1.60786580058289E-013,1.26217744835362E-028,-2.21796819397797E-013,0,-1.32377509708646E-013,1.51461293802434E-028,-8.01298318184207E-014,-3.02922587604869E-028,-8.01298318184207E-014,-3.02922587604869E-028,-3.61989602084516E-014,-3.53409685539013E-028,2.33577866909442E-013,-1.43888229112313E-027,3.21265337238628E-013,0,-1.72727839040582E-013,-8.51969777638693E-029,5.41773849869446E-013,0,1.24573659046592E-013,0,-1.66646347167676E-013,-4.03896783473158E-028,-4.8616821184938E-013,0,-7.01966364928487E-014,0,4.64629530043998E-013,8.07793566946316E-028
EX_xan_e,3.08099807805441E-016,0,-4.3803920652962E-015,0,3.65140315921979E-015,0,-8.11106658401692E-016,0,-8.11106658401692E-016,0,2.23937463249938E-015,0,1.6105101821339E-015,0,-1.06051011162404E-014,0,7.52398091905885E-015,0,-1.77289176633493E-015,0,-1.77289176633493E-015,0,-2.04406792665968E-015,0,-1.74683930334011E-014,0,2.97596785121186E-014,0,1.46531746221275E-014,0,1.80764920552674E-015,0,-3.8266192480482E-016,0,-2.69656909258972E-014,0,1.15413909013811E-014,0,8.27251592751584E-015,0,-1.67616446963255E-014,0,8.64469762692165E-016,0,-5.17709783467935E-015,0,-1.53020862151905E-015,0,-1.18440100193347E-014,0,-1.18440100193347E-014,0,1.68723093325863E-014,0,1.63961873618342E-014,0,1.56249223424077E-015,0,5.28401611278218E-015,0,-4.92324278100913E-016,0,-2.2621138257456E-015,0,-1.18064196711484E-014,0,-1.40093753682283E-015,0,-4.87769628040757E-015,0,2.11354514310805E-015,0
NTD10,-2.88844384705385E-014,0,1.04155099130728E-013,0,2.33661903240379E-014,0,1.15262932640348E-014,0,1.15262932640348E-014,0,6.97800759848351E-014,0,7.14237744225908E-015,0,-1.35845332123985E-014,0,2.83931898343958E-013,0,-3.74569262099107E-014,0,-3.74569262099107E-014,0,-1.43774003016233E-013,0,-8.88172517931391E-014,0,2.67780591895371E-013,0,8.36796085457588E-016,0,6.98665809666684E-014,0,3.60632655254536E-014,0,-1.0319298594283E-013,0,4.95383888907861E-015,0,9.56948854026972E-014,0,-1.18256435741714E-013,0,9.25054572735403E-015,0,-3.06525231438857E-014,0,-1.15488894366888E-014,0,-7.45851510158833E-014,0,-7.45851510158833E-014,0,1.10233106387276E-013,0,1.32807071090629E-013,0,4.10608407036519E-013,0,-2.09109088339943E-014,0,9.03565118049763E-014,0,-1.40299367782572E-013,0,-3.56730931291452E-014,0,-1.99064361744998E-013,0,-3.04303356616586E-014,0,3.64061656177629E-013,0
NTD11,-2.65445165170039E-014,0,1.051000631549E-013,0,4.64224324918826E-014,0,-2.50475093761653E-015,0,-2.50475093761653E-015,0,2.24285555636627E-014,0,-4.94159357988476E-014,0,-1.2020648173462E-014,0,1.61384109383967E-013,0,-8.73789774592859E-014,0,-8.73789774592859E-014,0,1.72619544299089E-014,0,-2.88473177042948E-013,0,3.48628776043673E-013,0,1.71429652887411E-013,0,1.39619533626822E-013,0,1.7828707912717E-013,0,1.76801543661938E-013,0,1.51441769009381E-013,0,1.96582528562401E-013,0,-1.10511968193479E-013,0,-6.26136029510948E-015,0,-1.92678531393257E-013,0,-1.71334066696774E-014,0,-1.20706120160499E-013,0,-1.20706120160499E-013,0,-2.85644953658961E-014,0,3.23516954968453E-013,0,3.76284299688546E-013,0,-1.91404113854122E-013,0,1.54456697022207E-013,0,-1.89733081804366E-013,0,-1.94466098028349E-013,0,2.11859773516038E-013,0,-2.15826645491768E-013,0,4.94808182461263E-013,0
NTD12,-7.16419100712375E-015,0,-4.1075951905317E-014,0,4.12656762605687E-014,0,-8.58335960609217E-015,0,-8.58335960609217E-015,0,-6.62642852211503E-015,0,-4.3119985688577E-015,0,-8.10382007151774E-014,0,5.38769317306461E-014,0,1.4131813527799E-015,0,1.4131813527799E-015,0,1.04395748095297E-014,0,-2.1059994528656E-013,0,4.27029391602085E-014,0,8.96893912390777E-014,0,6.09421124313586E-014,0,-5.12508459509411E-014,0,-6.70928509861546E-015,0,1.5524522446038E-015,0,5.56935674472692E-014,0,-4.81103236470768E-014,0,5.97436755755101E-014,0,-9.30717279202311E-014,0,-5.22207710237585E-014,0,-5.35167116969056E-014,0,-5.35167116969056E-014,0,4.51823624342829E-014,0,9.49360157039325E-014,0,1.2793953640176E-013,0,-9.36854656050745E-014,0,1.15078749331889E-013,0,-1.13314071402303E-013,0,5.91271958343919E-014,0,1.67568766885638E-013,0,-5.24462949151062E-014,0,5.66697735525377E-014,0
PMEACPE,0.00000022,0.00000022,0.00000024,0.00000024,0.0000004,0.0000004,0.00000042,0.00000042,0.00000042,0.00000042,0.00000044,0.00000044,0.00000052,0.00000052,0.00000052,0.00000052,0.0000006,0.0000006,0.00000062,0.00000062,0.00000062,0.00000062,0.0000007,0.0000007,0.00000072,0.00000072,0.0000008,0.0000008,0.0000008,0.0000008,0.00000082,0.00000082,0.00000084,0.00000084,0.00000088,0.00000088,0.00000092,0.00000092,0.00000092,0.00000092,0.00000094,0.00000094,0.00000094,0.00000094,0.00000098,0.00000098,0.000001,0.000001,0.00000102,0.00000102,0.00000102,0.00000102,0.0000011,0.0000011,0.0000011,0.0000011,0.0000011,0.0000011,0.00000116,0.00000116,0.0000012,0.0000012,0.00000126,0.00000126,0.0000013,0.0000013,0.00000132,0.00000132,0.00000134,0.00000134,0.00000206,0.00000206
PItex_reverse,-7.27851695540751E-014,0,-3.80735418417152E-014,0,1.39129033835026E-013,0,-2.11362906607829E-014,0,-2.11362906607829E-014,0,2.70529114654253E-014,0,-2.11981146655074E-014,0,-2.39448400744573E-013,0,4.82930567560292E-013,0,2.43389725313167E-013,0,2.43389725313167E-013,0,-1.3161296532288E-013,0,-1.75720811672893E-013,0,1.43367061004575E-013,0,1.18887122377298E-013,0,1.98357286615768E-013,0,1.11745146455374E-013,0,-1.03063615684546E-013,0,4.18080893683383E-013,0,5.26975731029914E-013,0,-2.53073994795442E-013,0,1.66241584046956E-013,0,-2.30198226646455E-013,0,-1.06873324373412E-013,0,-6.77935101434037E-014,0,-6.77935101434037E-014,0,-3.82670642057647E-014,0,2.49690938242644E-013,0,3.3192373640832E-013,0,-1.60959325054724E-013,0,5.47010276159041E-013,0,1.44124554203695E-013,0,-1.58476995606346E-013,0,-4.74201996138469E-013,0,-7.73379780474132E-014,0,4.44279216202704E-013,0
XTSNH,1.3362685682014E-013,0,-1.14116584277844E-013,0,3.66414455570708E-014,0,-1.24698141292528E-013,0,-1.24698141292528E-013,0,-1.36620785104869E-013,0,-2.59885347866782E-013,0,-1.28337046038082E-013,0,1.59529628963943E-013,0,-7.95790952157886E-014,0,-7.95790952157886E-014,0,1.75926397758375E-013,0,-2.89032702420489E-013,0,1.51907467530566E-013,0,8.37130799738244E-014,0,6.96519089117506E-014,0,-6.24735577741828E-015,0,-2.03837257352995E-013,0,2.76483768230194E-013,0,1.09937431560089E-013,0,-2.6759888210908E-013,0,-7.34781566089541E-015,0,-1.06974093232781E-013,0,-7.8602885576092E-015,0,-1.93464835710846E-014,0,-1.93464835710846E-014,0,1.9768383092588E-013,0,1.30660569771161E-013,0,1.85430171653579E-013,0,-3.277724655297E-013,0,1.1553764764166E-013,0,-1.17239608845551E-014,0,-3.38727819880836E-013,0,4.19770230423873E-015,0,-1.59773883537637E-013,0,7.07183508696886E-013,0
DDPA,0.04091164,0.04091164,0.04463088,0.04463088,0.0743848,0.0743848,0.07810404,0.07810404,0.07810404,0.07810404,0.08182328,0.08182328,0.09670024,0.09670024,0.09670024,0.09670024,0.1115772,0.1115772,0.11529644,0.11529644,0.11529644,0.11529644,0.1301734,0.1301734,0.13389264,0.13389264,0.1487696,0.1487696,0.1487696,0.1487696,0.15248884,0.15248884,0.15620808,0.15620808,0.16364656,0.16364656,0.17108504,0.17108504,0.17108504,0.17108504,0.17480428,0.17480428,0.17480428,0.17480428,0.18224276,0.18224276,0.185962,0.185962,0.18968124,0.18968124,0.18968124,0.18968124,0.2045582,0.2045582,0.2045582,0.2045582,0.2045582,0.2045582,0.21571592,0.21571592,0.2231544,0.2231544,0.23431212,0.23431212,0.2417506,0.2417506,0.24546984,0.24546984,0.24918908,0.24918908,0.38308172,0.38308172
DCAtex_reverse,-7.1875198670708E-014,0,-3.59193405452019E-014,0,1.40962740098911E-013,0,-1.7732112679613E-014,0,-1.7732112679613E-014,0,3.64544621839161E-014,5.80601626242665E-028,-2.87387145700623E-014,0,-2.36159365034121E-013,0,4.82774055671034E-013,0,-2.73431505282411E-013,0,-2.73431505282411E-013,0,-1.36130022623998E-013,0,-1.85087915202545E-013,0,1.48490566790872E-013,0,1.31836172863283E-013,0,1.96909431652625E-013,0,1.02344246258187E-013,-2.6505726415426E-028,-1.16289364305828E-013,0,4.09837921406411E-013,2.14570166220115E-028,5.20981014587915E-013,0,-2.47577957142678E-013,0,1.43284253565878E-013,-7.82550017979244E-028,-2.22134005426407E-013,0,-1.24438402454687E-013,0,-8.24605225938883E-014,0,-8.24605225938883E-014,0,-3.3910509271998E-014,0,2.50760395265583E-013,0,3.28330256727834E-013,0,-1.76749645494803E-013,0,5.41815429869793E-013,0,1.22216406164932E-013,0,-1.54877444393695E-013,0,-4.89239012909104E-013,0,-7.14338466969262E-014,0,4.70504765712522E-013,1.0097419586829E-028
