,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose,glycerol+aa,lb
b3031,2.32779749233e-06,2.13585896424e-06,1.38564264598e-06,1.52047395315e-06,1.60664179923e-06,1.55710009073e-06,8.87304318668e-07,1.28120903956e-06,1.57714506798e-06
b3032,1.67943913486e-05,1.15527898432e-05,1.32938036657e-05,1.26206728104e-05,1.15271374455e-05,1.18105402803e-05,9.32379070336e-06,8.78513327777e-06,7.28465020514e-06
b3033,5.46340485954e-08,7.7477142257e-08,1.4855336921e-07,4.45682817582e-07,0.0,1.55243357384e-07,4.18694757847e-07,0.0,7.33512055155e-07
b3034,7.15517167189e-06,5.51288693515e-06,5.54250439854e-06,5.63608121031e-06,4.91251195616e-06,4.40360479791e-06,5.81617932838e-06,5.08205366953e-06,4.96352129836e-06
b3035,0.000535171648068,0.000405533109892,0.000404242087852,0.000491207680949,0.000491291565176,0.000485108136151,0.000465085347612,0.000451295434778,0.000415048594585
b3037,6.10308896243e-06,5.49184798814e-06,5.73398038621e-06,6.9143692889e-06,3.82824914379e-06,4.24510114482e-06,5.28090272822e-06,6.63852365563e-06,5.77632985673e-06
b3038,1.9282082649e-05,2.16118821046e-05,4.17252458146e-05,3.7933414805e-05,3.2163077639e-05,2.85997110796e-05,3.07697265281e-05,2.33107451025e-05,2.3235371867e-05
b3039,2.84914228509e-06,6.38364554236e-06,2.71869090778e-06,3.97880039879e-06,0.0,2.39659089475e-06,1.06427626672e-05,0.0,1.48705679211e-06
b3040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3041,1.40432768667e-05,1.17836624562e-05,2.18803037943e-05,2.80784547558e-05,1.10598835332e-05,1.01727679151e-05,1.53447763506e-05,6.93392173445e-05,3.78613853542e-05
b3042,2.33851054193e-05,2.19603570529e-05,2.31172741635e-05,2.82372835871e-05,2.42418661078e-05,2.36236822335e-05,3.03710303681e-05,2.27752213988e-05,2.13860654589e-05
b3043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3049,6.7744056552e-08,2.9438702836e-07,1.87440796474e-07,1.49822670525e-07,0.0,2.19031872768e-07,3.80340599194e-07,0.0,3.79717389245e-07
b3050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3052,7.20142097751e-05,4.73542165924e-05,7.26978251833e-05,7.20984780617e-05,7.15020745091e-05,6.63772566518e-05,7.25143286912e-05,7.64106265344e-05,8.07575409431e-05
b3053,1.18097894373e-05,6.00117017602e-06,8.06993720397e-06,7.3630059701e-06,1.2057633689e-05,8.18764303085e-06,4.7640531487e-06,4.6992310493e-06,3.66250690971e-06
b3054,2.55072452949e-05,2.13140870363e-05,2.81701660062e-05,2.75718673677e-05,2.90447394032e-05,2.45833324666e-05,2.4637353355e-05,2.12506252291e-05,1.71863897338e-05
b3055,1.47073349144e-05,7.53064855876e-06,1.63803824019e-05,9.06969276808e-06,9.68113085998e-06,1.19842365854e-05,1.11659402379e-05,4.80034310242e-06,7.81578388953e-06
b3056,5.87307091123e-06,5.24372361188e-06,4.23686361475e-06,3.29300014207e-06,3.52155636495e-06,3.95323149022e-06,5.26676937466e-06,3.31625011604e-06,4.78055269518e-06
b3057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3058,2.34812057768e-06,2.67220533331e-06,1.79941205879e-06,4.20208180347e-06,2.63552468126e-06,1.87457350448e-06,4.3991664188e-07,4.91149825356e-06,4.40370808463e-06
b3059,1.07129287015e-07,4.22431255423e-08,3.08229150509e-07,2.75385892871e-07,2.41086989785e-07,1.65784412769e-07,9.43751226297e-09,1.16634181144e-09,1.0412795193e-09
b3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3064,7.68804317671e-06,6.86647047426e-06,6.48022757108e-06,7.20864452521e-06,8.83505122672e-06,7.92759520231e-06,1.26963506328e-05,1.11536116818e-05,2.04462181689e-05
b3065,0.000208106720393,0.000185667242331,0.0002637655564,0.000336619991072,0.000327785049858,0.000270965537129,0.000427496055887,0.00053559764655,0.000705684980983
